u,v,key,osmid,highway,ref,oneway,reversed,length,geometry,name,lanes,maxspeed,junction
253059731,1978435319,0,23371431,primary,KR-1,False,True,458.5096788413513,"LINESTRING (51.1955811 43.6683161, 51.195076 43.6703687, 51.1948431 43.671315, 51.1946892 43.6719403, 51.194588 43.6723765)",,,,
253059731,1976836788,0,498920855,secondary,KR-3,False,True,488.4058364342333,"LINESTRING (51.1955811 43.6683161, 51.1950098 43.6679226, 51.1944142 43.6675115, 51.1942606 43.6674055, 51.1939231 43.6671725, 51.1931559 43.6666429, 51.1927928 43.6663923, 51.1924626 43.6661644, 51.1920022 43.6658466, 51.1916546 43.6656067, 51.1912544 43.6653534, 51.1911687 43.6652992)",Сәтбаев көшесі,,,
253059786,1978435216,0,119417653,secondary,KR-3,False,False,18.146519817761977,"LINESTRING (51.1769477 43.6578846, 51.1771622 43.6579351)",Сәтбаев көшесі,,,
253059786,364099010,0,119417653,secondary,KR-3,False,True,187.85466103400773,"LINESTRING (51.1769477 43.6578846, 51.1760491 43.6576401, 51.1758738 43.6575777, 51.175671 43.6574955, 51.1748335 43.6571753)",Сәтбаев көшесі,,,
299977783,4191632689,0,101388131,secondary,,False,False,279.15770639382265,"LINESTRING (51.1731285 43.6634205, 51.1732714 43.6639642, 51.173319 43.6641452, 51.1733807 43.6643878, 51.1733947 43.6644548, 51.1734189 43.6645704, 51.1734448 43.6646945, 51.1734448 43.6648545, 51.1734358 43.665008, 51.1734217 43.6651252, 51.1733774 43.6654032, 51.173186 43.6658887)",,,,
299977783,364098987,0,101388131,secondary,,False,True,283.67565639815734,"LINESTRING (51.1731285 43.6634205, 51.173107 43.6632458, 51.1730639 43.6628945, 51.17307 43.6624234, 51.173094 43.6623199, 51.1731302 43.6621636, 51.1732643 43.661879, 51.1736103 43.6614359, 51.1736543 43.6613894, 51.1739845 43.6610408)",,,,
299977783,3333891772,0,"[326725497, 326725493]",residential,,False,"[False, True]",414.582740288921,"LINESTRING (51.1731285 43.6634205, 51.1728777 43.6634479, 51.1724727 43.6634518, 51.1721373 43.6634615, 51.1720408 43.6635333, 51.1719128 43.6636935, 51.1715632 43.664131, 51.1709368 43.6641366, 51.1708516 43.6641199, 51.1703871 43.6638518, 51.1703248 43.6638158, 51.1699813 43.6635725, 51.1698619 43.6634744, 51.1697896 43.6633925, 51.1697009 43.6632654, 51.1695279 43.6631407, 51.1691751 43.6629488)",28А микрорайон,,,
364098930,364099286,0,32343688,residential,,False,True,153.7719122820742,"LINESTRING (51.1555489 43.6491224, 51.15537 43.6490264, 51.1552494 43.6489562, 51.1552291 43.6489295, 51.1552345 43.6489062, 51.1553418 43.6488208, 51.1553431 43.6487965, 51.1553187 43.6487765, 51.154483 43.6483415, 51.1543247 43.6482537)",,,,
364098930,1697322638,0,131721039,secondary,,True,False,192.93523219888974,"LINESTRING (51.1555489 43.6491224, 51.1558487 43.6488186, 51.1567404 43.6479131, 51.1567759 43.647877, 51.1569421 43.6477102)",проспект президента Республики Казахстан,3,,
364098938,364098950,0,"[32343672, 1281941352]",secondary,,False,False,719.6242550965502,"LINESTRING (51.1530408 43.6525463, 51.1530968 43.6525484, 51.1534564 43.6525784, 51.1539927 43.6526268, 51.1548043 43.6527, 51.1555159 43.6527637, 51.1556336 43.6527828, 51.1570596 43.6529008, 51.1572806 43.6529227, 51.1575795 43.6529663, 51.1585333 43.6531589, 51.1590171 43.6533059, 51.1594771 43.6534854, 51.1599157 43.6536913, 51.1605236 43.6540119, 51.1611694 43.6543591, 51.1613701 43.654467)",,2,,
364098938,9612448517,0,181238021,secondary,,True,False,137.49169457703948,"LINESTRING (51.1530408 43.6525463, 51.1525982 43.6525821, 51.152076 43.6526842, 51.1513869 43.6528417)",,,,
364098950,364098938,0,"[1281941352, 32343672]",secondary,,False,True,719.6242550965503,"LINESTRING (51.1613701 43.654467, 51.1611694 43.6543591, 51.1605236 43.6540119, 51.1599157 43.6536913, 51.1594771 43.6534854, 51.1590171 43.6533059, 51.1585333 43.6531589, 51.1575795 43.6529663, 51.1572806 43.6529227, 51.1570596 43.6529008, 51.1556336 43.6527828, 51.1555159 43.6527637, 51.1548043 43.6527, 51.1539927 43.6526268, 51.1534564 43.6525784, 51.1530968 43.6525484, 51.1530408 43.6525463)",,2,,
364098950,4646630226,0,1281941359,secondary,,False,False,352.29720771770275,"LINESTRING (51.1613701 43.654467, 51.1612527 43.6545869, 51.1601702 43.6556924, 51.1597902 43.656077, 51.1593823 43.6565081, 51.1588754 43.6569997, 51.1588288 43.6570469)",,,,
364098950,364098952,0,1281941359,secondary,,False,True,211.73332536035844,"LINESTRING (51.1613701 43.654467, 51.1614998 43.6543352, 51.1629151 43.6529255)",,,,
364098952,364098957,0,32343853,unclassified,,False,True,92.13154471735517,"LINESTRING (51.1629151 43.6529255, 51.1630035 43.6529734, 51.1630491 43.652998, 51.1631967 43.6530799, 51.163221 43.6530934, 51.1635638 43.6532832, 51.1637895 43.6534081, 51.1638255 43.6534281)",,,,
364098952,1341950377,0,579263320,secondary,,False,True,438.7945715789726,"LINESTRING (51.1629151 43.6529255, 51.1659272 43.6498549, 51.1660778 43.6497107)",,,,
364098952,364098950,0,1281941359,secondary,,False,False,211.73332536035844,"LINESTRING (51.1629151 43.6529255, 51.1614998 43.6543352, 51.1613701 43.654467)",,,,
364098957,364098959,0,1281941356,secondary,,False,False,79.5559297843787,"LINESTRING (51.1638255 43.6534281, 51.1644016 43.6528466)",,,,
364098957,364098952,0,32343853,unclassified,,False,False,92.13154471735518,"LINESTRING (51.1638255 43.6534281, 51.1637895 43.6534081, 51.1635638 43.6532832, 51.163221 43.6530934, 51.1631967 43.6530799, 51.1630491 43.652998, 51.1630035 43.6529734, 51.1629151 43.6529255)",,,,
364098957,521806568,0,181238045,secondary,,False,True,807.5426995413222,"LINESTRING (51.1638255 43.6534281, 51.1611194 43.6561592, 51.1609838 43.656296, 51.1598208 43.6575333, 51.1589366 43.6583562, 51.1588577 43.65844, 51.1585178 43.6588009, 51.1579782 43.6593293)",,,,
364098959,364098967,0,32343857,residential,,False,False,53.07141637132571,"LINESTRING (51.1644016 43.6528466, 51.1649339 43.6531285)",,,,
364098959,364098957,0,1281941356,secondary,,False,True,79.5559297843787,"LINESTRING (51.1644016 43.6528466, 51.1638255 43.6534281)",,,,
364098959,1916798157,0,1281941356,secondary,,False,False,263.83430628617856,"LINESTRING (51.1644016 43.6528466, 51.1647433 43.6524981, 51.1663229 43.6509238)",,,,
364098967,364098973,0,32343675,tertiary,,False,False,288.92705082782993,"LINESTRING (51.1649339 43.6531285, 51.1628195 43.6552288)",,,,
364098967,364098959,0,32343857,residential,,False,True,53.07141637132571,"LINESTRING (51.1649339 43.6531285, 51.1644016 43.6528466)",,,,
364098973,364098967,0,32343675,tertiary,,False,True,288.92705082782993,"LINESTRING (51.1628195 43.6552288, 51.1649339 43.6531285)",,,,
364098973,364102431,0,32343673,tertiary,,False,False,225.40723826565326,"LINESTRING (51.1628195 43.6552288, 51.1642044 43.6559493, 51.1649904 43.6563583, 51.1650972 43.6564092)",,,,
364098973,521806568,0,32343675,tertiary,,False,False,609.4926733094793,"LINESTRING (51.1628195 43.6552288, 51.1617339 43.6563181, 51.1612052 43.6568486, 51.1605999 43.657456, 51.1604963 43.6575654, 51.1596596 43.6583996, 51.1591925 43.6588682, 51.1590948 43.6589275, 51.1588172 43.6590274, 51.1579782 43.6593293)",,,,
364098982,1978435285,0,27327276,tertiary,,False,True,118.16958134551021,"LINESTRING (51.1720488 43.660032, 51.172875 43.6591533)",,,,
364098982,1978435289,0,32343673,tertiary,,False,True,160.4389872978722,"LINESTRING (51.1720488 43.660032, 51.1704306 43.6591886)",,,,
364098982,3333891772,0,27327276,tertiary,,False,False,398.28727347259803,"LINESTRING (51.1720488 43.660032, 51.1716845 43.6603979, 51.1714007 43.660683, 51.1704068 43.6616928, 51.1702729 43.6618325, 51.1697267 43.6623852, 51.1691751 43.6629488)",,,,
364098982,364098987,0,32343673,tertiary,,False,False,191.91180185615124,"LINESTRING (51.1720488 43.660032, 51.1731404 43.6605983, 51.1734505 43.6607596, 51.1739845 43.6610408)",,,,
364098987,364098982,0,32343673,tertiary,,False,True,191.91180185615121,"LINESTRING (51.1739845 43.6610408, 51.1734505 43.6607596, 51.1731404 43.6605983, 51.1720488 43.660032)",,,,
364098987,4190977840,0,32343676,secondary,,False,False,353.5749896039602,"LINESTRING (51.1739845 43.6610408, 51.1745295 43.6604967, 51.175051 43.6599628, 51.1753335 43.6596772, 51.1753792 43.659631, 51.1765426 43.6584551)",,,,
364098987,299977783,0,101388131,secondary,,False,False,283.67565639815734,"LINESTRING (51.1739845 43.6610408, 51.1736543 43.6613894, 51.1736103 43.6614359, 51.1732643 43.661879, 51.1731302 43.6621636, 51.173094 43.6623199, 51.17307 43.6624234, 51.1730639 43.6628945, 51.173107 43.6632458, 51.1731285 43.6634205)",,,,
364098987,4163187348,0,415281014,residential,,False,False,203.25125775059652,"LINESTRING (51.1739845 43.6610408, 51.1742996 43.6611924, 51.1757292 43.6619404, 51.1761128 43.6619521)",,,,
364099010,1978435270,0,27327276,tertiary,,False,False,185.7060320531123,"LINESTRING (51.1748335 43.6571753, 51.1734898 43.6585333)",,,,
364099010,1978434931,0,32343678,tertiary,,False,False,303.2341630705342,"LINESTRING (51.1748335 43.6571753, 51.1760094 43.6560029, 51.1762049 43.655808, 51.17656 43.6554519, 51.1766304 43.6553816, 51.1769075 43.655105, 51.1770129 43.6549529)",,,,
