horizon,split,metric,catboost,lightgbm
1h,validation,pr_auc,0.17573492175064576,0.17063812110934767
1h,validation,roc_auc,0.653605077511258,0.6538028245408951
1h,validation,lift_at_top_10pct,2.3466666666666667,2.220229885057471
1h,validation,brier_score,0.0806786131073082,0.0804085765691075
1h,validation,expected_calibration_error_10_bins,0.02400687808728328,0.01274772998998298
1h,test,pr_auc,0.1580147210307248,0.15572607683242357
1h,test,roc_auc,0.6369856315437737,0.6364222172718497
1h,test,lift_at_top_10pct,2.1492537313432836,2.1094527363184077
1h,test,brier_score,0.08179419371013219,0.0815175889258916
1h,test,expected_calibration_error_10_bins,0.028884006175384763,0.02001773484572122
1h,resource,training_time_seconds,,2.6513667999824975
1h,resource,prediction_time_validation_seconds,0.17238020000513643,0.047157300024991855
1h,resource,prediction_time_test_seconds,0.1763193000224419,0.056506199995055795
1h,resource,model_size_bytes,267584.0,1027869.0
24h,validation,pr_auc,0.2828499272698683,0.28112094904592816
24h,validation,roc_auc,0.642696946501178,0.6391503603581276
24h,validation,lift_at_top_10pct,2.1302074877423127,2.1574828717082832
24h,validation,brier_score,0.1335436695221157,0.13287133329692175
24h,validation,expected_calibration_error_10_bins,0.029847847470242626,0.012915036615948573
24h,test,pr_auc,0.2556304458420362,0.25678704867339697
24h,test,roc_auc,0.6119725037777589,0.6089806681568611
24h,test,lift_at_top_10pct,1.9948709729123257,2.0220120745846026
24h,test,brier_score,0.137846258527098,0.13634503966015524
24h,test,expected_calibration_error_10_bins,0.04511661294828687,0.031933966601505125
24h,resource,training_time_seconds,,9.705948199989507
24h,resource,prediction_time_validation_seconds,2.2835303000174463,0.18145410000579432
24h,resource,prediction_time_test_seconds,4.312374800007092,0.3634946000238415
24h,resource,model_size_bytes,113272.0,385471.0
