horizon,split,metric,catboost,xgboost
1h,validation,pr_auc,0.17573492175064576,0.16897773397402224
1h,validation,roc_auc,0.653605077511258,0.6611174306241554
1h,validation,lift_at_top_10pct,2.3466666666666667,2.225287356321839
1h,validation,brier_score,0.0806786131073082,0.08016602694988251
1h,validation,expected_calibration_error_10_bins,0.02400687808728328,0.004171054984841636
1h,test,pr_auc,0.1580147210307248,0.1604775948653394
1h,test,roc_auc,0.6369856315437737,0.653725637979258
1h,test,lift_at_top_10pct,2.1492537313432836,2.1343283582089554
1h,test,brier_score,0.08179419371013219,0.08076523244380951
1h,test,expected_calibration_error_10_bins,0.028884006175384763,0.011734240688804807
1h,resource,training_time_seconds,,3.783608700003242
1h,resource,prediction_time_validation_seconds,0.17238020000513643,0.020932699990225956
1h,resource,prediction_time_test_seconds,0.1763193000224419,0.02490140000008978
1h,resource,model_size_bytes,267584.0,1525063.0
24h,validation,pr_auc,0.2828499272698683,0.28260233336371593
24h,validation,roc_auc,0.642696946501178,0.6393714902270509
24h,validation,lift_at_top_10pct,2.1302074877423127,2.164301717699776
24h,validation,brier_score,0.1335436695221157,0.1328139305114746
24h,validation,expected_calibration_error_10_bins,0.029847847470242626,0.013713915796970972
24h,test,pr_auc,0.2556304458420362,0.2510537934668091
24h,test,roc_auc,0.6119725037777589,0.6059404707252619
24h,test,lift_at_top_10pct,1.9948709729123257,1.9246674146497837
24h,test,brier_score,0.137846258527098,0.13657473027706146
24h,test,expected_calibration_error_10_bins,0.04511661294828687,0.03016303682902183
24h,resource,training_time_seconds,,28.930401599995093
24h,resource,prediction_time_validation_seconds,2.2835303000174463,0.14311390000511892
24h,resource,prediction_time_test_seconds,4.312374800007092,0.25163630000315607
24h,resource,model_size_bytes,113272.0,1653884.0
