trial,name,status,best_iteration,training_seconds,train_pr_auc,validation_pr_auc,validation_roc_auc,validation_recall_at_top_10pct,validation_lift_at_top_10pct,train_validation_pr_auc_gap,params_json
1,d5_fast,completed,66,37.45442190000176,0.37931907510433005,0.28464378447376637,0.6453131279597919,0.21730829177057356,2.1730688054031235,0.09467529063056368,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 5, ""learning_rate"": 0.07, ""l2_leaf_reg"": 3.0, ""random_strength"": 1.0, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 128}"
2,d6_balanced,completed,103,42.87162060000264,0.42023783014463667,0.28428234725508855,0.6433466317129509,0.2126909289276808,2.1268954768321593,0.13595548288954812,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 6, ""learning_rate"": 0.05, ""l2_leaf_reg"": 5.0, ""random_strength"": 1.0, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 128}"
3,d7_baseline_like,completed,44,38.49811419999605,0.3913396721812348,0.2838679337520259,0.6428315350919236,0.2161198566084788,2.161184530960808,0.10747173842920887,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 7, ""learning_rate"": 0.05, ""l2_leaf_reg"": 5.0, ""random_strength"": 0.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 128}"
4,d8_slow_regularized,completed,63,43.13947809999809,0.4095023803529261,0.2797436192461133,0.6411016801255536,0.21208697007481297,2.1208559275254086,0.12975876110681278,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 8, ""learning_rate"": 0.03, ""l2_leaf_reg"": 10.0, ""random_strength"": 0.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 128}"
5,d6_high_border,completed,36,35.7129660999999,0.37667229326799,0.2826293126281237,0.6422895123035299,0.21033354114713218,2.103321752118713,0.09404298063986632,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 6, ""learning_rate"": 0.07, ""l2_leaf_reg"": 8.0, ""random_strength"": 1.0, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 0.5, ""border_count"": 254}"
6,d7_low_lr,completed,71,41.45690100000502,0.38922418474540693,0.28194987377595837,0.6424855486046224,0.21200903990024939,2.1200766308406664,0.10727431096944856,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 7, ""learning_rate"": 0.03, ""l2_leaf_reg"": 12.0, ""random_strength"": 0.25, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 254}"
7,d5_strong_reg,completed,0,30.381651099996816,0.30689180901885305,0.24841849565552238,0.6051315149052026,0.21009975062344138,2.100983862064487,0.05847331336333067,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 5, ""learning_rate"": 0.05, ""l2_leaf_reg"": 15.0, ""random_strength"": 0.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 0.0, ""border_count"": 128}"
8,d8_low_lr,completed,109,49.49381020000146,0.4267136292603736,0.2823288092313853,0.6418241866961143,0.21489245635910226,2.1489106081761213,0.14438482002898828,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 8, ""learning_rate"": 0.02, ""l2_leaf_reg"": 20.0, ""random_strength"": 0.75, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.5, ""border_count"": 254}"
9,d6_small_border,completed,115,44.249649799996405,0.4254988715158903,0.2822010413472943,0.6487037852793762,0.21473659600997505,2.147352014806637,0.14329783016859599,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 6, ""learning_rate"": 0.04, ""l2_leaf_reg"": 3.0, ""random_strength"": 0.25, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 64}"
10,d7_noisy,completed,58,40.80977910000365,0.41539361143876163,0.2836066545467684,0.6462991963226044,0.21917861596009974,2.191771925836932,0.1317869568919932,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 7, ""learning_rate"": 0.06, ""l2_leaf_reg"": 8.0, ""random_strength"": 1.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 254}"
11,d6_bernoulli,completed,46,36.536971800000174,0.3756367932202301,0.28166073739059516,0.6420138304773593,0.21319747506234413,2.131960905282982,0.09397605582963492,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 6, ""learning_rate"": 0.05, ""l2_leaf_reg"": 8.0, ""random_strength"": 0.5, ""bootstrap_type"": ""Bernoulli"", ""subsample"": 0.8, ""border_count"": 128}"
12,d7_class_weight_variant,completed,87,43.651397100002214,0.45325429575321124,0.28032264379012745,0.6453810453564669,0.21547693266832918,2.1547553333116864,0.1729316519630838,"{""iterations"": 1000, ""loss_function"": ""Logloss"", ""eval_metric"": ""PRAUC"", ""random_seed"": 20260711, ""allow_writing_files"": false, ""task_type"": ""GPU"", ""devices"": ""0"", ""depth"": 7, ""learning_rate"": 0.04, ""l2_leaf_reg"": 8.0, ""random_strength"": 0.5, ""bootstrap_type"": ""Bayesian"", ""bagging_temperature"": 1.0, ""border_count"": 128, ""scale_pos_weight"": 2.0}"
