rank,feature,mean_abs_shap_log_odds,mean_shap_log_odds,feature_group
1,segment_accidents_total_prior,0.3136621385739439,0.1936074635457964,historical
2,road_length,0.1375028060650037,-0.01704870384616326,road
3,city_accidents_total_prior,0.07664211972108192,-0.06529070952259605,historical
4,segment_hours_since_prev_accident,0.07122618381277247,0.011045903550113558,historical
5,segment_latitude,0.056132687312866685,-0.0021506447833520626,road
6,road_oneway,0.038012589438000864,0.0017764481631515664,road
7,segment_longitude,0.031492720341215856,-0.001415591092022372,road
8,segment_has_history,0.024434510599353688,0.012367521681164628,historical
9,road_highway,0.018602191003781132,-0.0003683387548576981,road
10,poi_total_100m,0.01733681707694532,0.0005550857047823521,POI
11,poi_transit_stop_500m,0.016561813924585632,-0.0007937929985432563,POI
12,calendar_hour,0.013610581861421604,0.011178538872976934,calendar
13,poi_total_500m,0.013114698934089973,0.001294894272023272,POI
14,calendar_weekday,0.013003816087748058,0.010399707459456885,calendar
15,calendar_day,0.013003027489963162,0.010398843076007726,calendar
16,segment_accidents_prev_30d,0.010336133470755756,0.003913889190042741,historical
17,weather_interaction_adverse_history,0.009187293038039192,0.0027147432618864842,weather
18,poi_traffic_signal_250m,0.00772048881696386,0.0005237061606244922,POI
19,poi_healthcare_500m,0.007705340034509838,-0.0001530459742522285,POI
20,poi_traffic_signal_500m,0.0072529092344546225,-0.0010786885045226597,POI
21,poi_transit_stop_250m,0.007224558076010226,-0.0004581437834691073,POI
22,weather_interaction_precip_history,0.007157773055228917,0.0031971204041256257,weather
23,city_accidents_prev_24h,0.006338834918277944,-0.0018168838812990466,historical
24,road_lanes_missing,0.004758013358677216,-0.00035202277679216516,road
25,poi_crossing_100m,0.004525037482478484,2.1351082998841343e-05,POI
26,weather_interaction_adverse_maxspeed,0.0044034857025492796,0.0009328492677937694,weather
27,calendar_year,0.004262147416204683,0.0031231688057776204,calendar
28,poi_traffic_signal_100m,0.00419802426224863,9.127115213274688e-05,POI
29,poi_emergency_500m,0.003981206270045803,-0.0005413900640955238,POI
30,city_accidents_prev_30d,0.0037534474047389793,-0.003373732567264055,historical
