rank,feature,mean_abs_shap_log_odds,mean_shap_log_odds,feature_group
1,segment_accidents_total_prior,0.338720623427457,0.21963688324940486,historical
2,road_length,0.2014077804597404,-0.020601602733691226,road
3,segment_latitude,0.12390770277320094,-0.00941343489258243,road
4,city_accidents_total_prior,0.07529344883690166,-0.055704049084053985,historical
5,segment_hours_since_prev_accident,0.05698255556607186,0.013684273564449538,historical
6,segment_longitude,0.05013892232923458,-0.002701498700058638,road
7,poi_transit_stop_500m,0.034393369349236834,-0.0019196697895108876,POI
8,road_oneway,0.0325481879557461,0.002492969265413865,road
9,segment_accidents_prev_30d,0.02260250782501573,0.007994459276440097,historical
10,road_highway,0.020526671029431016,0.0010959255515977616,road
11,poi_total_100m,0.019633426810792762,0.001887607922730859,POI
12,segment_has_history,0.018951695557443377,0.004276612188558003,historical
13,poi_traffic_signal_250m,0.01637545289475274,-0.0005095754374257736,POI
14,poi_traffic_signal_500m,0.014058294091514165,0.0018804708027222866,POI
15,poi_total_500m,0.012361376259483945,0.0025697585390434584,POI
16,poi_healthcare_500m,0.00923573690796705,0.00013862358915100163,POI
17,poi_transit_stop_250m,0.008782891533352063,-0.0007096291841230317,POI
18,road_lanes_num,0.0077740501715490495,0.0015012077376866178,road
19,poi_traffic_signal_100m,0.005887507986417104,-0.0008554375826095898,POI
20,poi_crossing_500m,0.005072711093798418,0.001010580360083327,POI
21,poi_education_500m,0.00359083944247776,-7.493276456041018e-06,POI
22,road_lanes_missing,0.0034731334438364713,0.00040679716736322,road
23,segment_accidents_same_month_prior,0.0026527284846769215,0.0009933853436480578,historical
24,poi_education_250m,0.002385099455433327,-0.0001218435888832091,POI
25,poi_emergency_500m,0.0022441476776603234,-0.0002748868127281679,POI
26,calendar_year,0.002015890272628307,0.00022668744817710444,calendar
27,road_maxspeed_kmh,0.0,0.0,road
28,poi_crossing_100m,0.0,0.0,POI
29,poi_education_100m,0.0,0.0,POI
30,poi_emergency_100m,0.0,0.0,POI
31,poi_healthcare_100m,0.0,0.0,POI
32,poi_other_100m,0.0,0.0,POI
33,poi_transit_stop_100m,0.0,0.0,POI
34,poi_total_250m,0.0,0.0,POI
35,poi_crossing_250m,0.0,0.0,POI
36,poi_emergency_250m,0.0,0.0,POI
37,poi_healthcare_250m,0.0,0.0,POI
38,poi_other_250m,0.0,0.0,POI
39,poi_other_500m,0.0,0.0,POI
40,weather_temperature_2m,0.0,0.0,weather
41,weather_relative_humidity_2m,0.0,0.0,weather
42,weather_precipitation,0.0,0.0,weather
43,weather_rain,0.0,0.0,weather
44,weather_snowfall,0.0,0.0,weather
45,weather_cloud_cover,0.0,0.0,weather
46,weather_wind_speed_10m,0.0,0.0,weather
47,weather_wind_gusts_10m,0.0,0.0,weather
48,segment_accidents_prev_24h,0.0,0.0,historical
49,segment_accidents_prev_7d,0.0,0.0,historical
50,city_accidents_prev_24h,0.0,0.0,historical
51,city_accidents_prev_7d,0.0,0.0,historical
52,city_accidents_prev_30d,0.0,0.0,historical
53,segment_accidents_same_hour_weekday_prior,0.0,0.0,historical
54,segment_accidents_same_month_hour_weekday_prior,0.0,0.0,historical
55,segment_accidents_holiday_prior,0.0,0.0,historical
56,segment_accidents_new_year_period_prior,0.0,0.0,historical
57,road_maxspeed_missing,0.0,0.0,road
58,road_name_missing,0.0,0.0,road
59,calendar_month,0.0,0.0,calendar
60,calendar_day,0.0,0.0,calendar
61,calendar_hour,0.0,0.0,calendar
62,calendar_weekday,0.0,0.0,calendar
63,calendar_is_weekend,0.0,0.0,calendar
64,calendar_is_holiday,0.0,0.0,calendar
65,calendar_holiday_name,0.0,0.0,calendar
66,calendar_is_day_before_holiday,0.0,0.0,calendar
67,calendar_is_day_after_holiday,0.0,0.0,calendar
68,calendar_is_rush_hour,0.0,0.0,calendar
69,calendar_season,0.0,0.0,calendar
70,calendar_is_school_year,0.0,0.0,calendar
71,calendar_is_school_summer_break,0.0,0.0,calendar
72,calendar_is_school_winter_break,0.0,0.0,calendar
73,calendar_is_school_spring_break,0.0,0.0,calendar
74,calendar_is_school_autumn_break,0.0,0.0,calendar
75,calendar_is_school_break,0.0,0.0,calendar
76,calendar_is_new_year_period,0.0,0.0,calendar
77,weather_weather_code,0.0,0.0,weather
